DESeq2_PDX3_CBAM44728_MLL-AF10_MEN1-WT_vehicle vs. MEN1-WT_VTP50469,Gene,log2FC,padj
,SLC25A39,-0.222380502,0.164844956
,MVP,0.160188151,0.317572447
,NUB1,-0.18380812,0.172156284
,PGM3,-0.551938621,6.72E-06
,RWDD2A,-0.482924003,0.046140464
,CLK1,0.261658766,0.047747398
,POLR3B,0.211103724,0.235279713
,ANGEL1,0.386030294,0.000441003
,RNF14,0.429895024,0.000166065
,DNASE1L1,1.047220068,2.80E-11
,DDX11,-0.765472652,6.03E-08
,HEBP1,0.125460818,0.455126497
,GPRC5A,-0.090891235,NA
,MAMLD1,0.054620701,0.958104334
,CD6,0.61973537,0.33281281
,TACC3,-0.020606713,0.907440163
,UFL1,0.224757726,0.153795982
,POLA2,-0.657523274,9.64E-07
,ZC3H3,0.687363771,8.29E-08
,CAPN1,-0.192386224,0.079781879
,ACPP,1.664904619,2.55E-22
,MDH1,-0.421467881,7.35E-06
,SLC30A9,0.243142101,0.122229218
,MTMR11,0.490548765,2.32E-07
,COX15,0.4121017,6.17E-05
,CCDC88C,0.526092856,2.13E-06
,YAF2,-0.406130742,0.002760606
,ZMYND11,-0.28585921,0.055972705
,WAS,0.061592974,0.747029163
,DPEP1,-0.031718829,NA
,BID,-0.442574978,3.90E-05
,MATR3,-0.062083872,0.839400948
,NPC1L1,-0.345084282,0.578549733
,XYLT2,0.063252618,0.784475999
,RGPD5,0.041983092,NA
,STMN4,-0.031718829,NA
,NUDCD3,-0.132923613,0.273003409
,ISL1,-0.501264537,0.450791791
,CHDH,-0.158146132,0.839400948
,IL20RA,0,NA
,CLCA1,-0.321565503,NA
,CLCA4,0.386544727,NA
,GLT8D1,-0.084150073,0.5486881
,ATP2C1,0.259913349,0.023142712
,IGF1,0.061718229,NA
,SLC38A5,-1.083961211,1.56E-08
,RALBP1,-0.232219256,0.009600329
,RUFY3,0.870532687,2.14E-06
,CNTN1,-0.824864105,0.022946574
,SLC11A1,3.363003263,3.40E-141
,WWTR1,-0.057059803,0.951400254
,AGPS,-0.074676659,0.736871489
,ZNF806,NA,NA
,CXorf56,-0.218038758,0.173290109
,ATP1A2,-0.182242016,NA
,TTC27,-0.151083185,0.476806904
,ZNF582,-0.071279187,0.840043377
,VSIG2,-0.399277572,0.220051189
,PHLDB1,-0.742903843,0.002118737
,MARCO,1.91862999,2.41E-30
,CYP24A1,NA,NA
,PRDM11,0.043063396,0.895302676
,SYT13,0,1
,SNAI2,0,NA
,CD74,-0.12869319,0.160414054
,HGF,2.69069346,6.15E-32
,ZRANB1,0.163552834,0.560706207
,NCDN,0.289612842,0.192500593
,ADGRA2,0.799775245,5.83E-18
,CCT8L1P,0.013542536,NA
,ZFP64,0.031967364,0.906518554
,MNAT1,-0.310589142,0.128072432
,SAMD4A,2.727210012,2.04E-26
,RUNX3,-0.417593612,0.00200262
,MRE11,0.024710202,0.912484386
,PLEKHB1,-2.04090741,4.58E-09
,SERPINB1,1.059845312,8.17E-21
,CYP3A43,0.034579023,0.966040904
,SLC7A9,-0.028773361,0.97331096
,SPAST,0.068865791,0.764193634
,NRXN3,-0.089199239,0.904436566
,OSBPL5,-0.340197121,0.008878709
,AQR,0.095312472,0.589866901
,CPS1,0,NA
,C8B,2.555018295,3.86E-10
,FHL1,-2.880834236,2.14E-26
,RTF2,-0.321041541,0.002515312
,GABRA1,0,NA
,NLRP2,0.110983625,NA
,SLC45A4,0.18328694,0.175204311
,RNF10,0.201394227,0.061369214
,ZNF839,0.360725518,0.131889068
,ZDHHC6,-0.108017316,0.420412269
,GRAMD1B,0.491902093,3.47E-05
,RNH1,0.005312084,0.97830856
,NDUFS1,-0.089341242,0.560706207
,RB1CC1,-0.085905947,0.616715868
,ERP44,-0.051656088,0.749096447
,ALAS1,0.160388284,0.302582573
,BIRC3,0.716155321,0.003079761
,AKAP11,0.261580002,0.049101274
,GLRX2,-0.383138911,0.007156684
,SNAPC1,-0.431970813,0.008212471
,DERA,-0.50408254,0.000488717
,STRAP,-0.586444235,3.76E-09
,ABCC2,0.042211328,0.910321876
,DEF6,0.258760491,0.027510197
,PLEKHO1,0.071771314,0.67650305
,GCLM,-0.332706702,0.04160968
,UBR2,0.353644547,0.006188885
,EHD2,0.138239682,NA
,DEPDC1,-0.528979777,0.003345289
,CCDC28A,-0.281905367,0.015436936
,RRAGD,1.536934486,6.55E-31
,HSF2,-0.736900634,2.00E-08
,PHF20,-0.051480713,0.781705599
,HSD17B6,-1.739096947,3.91E-05
,NR1H3,-1.016534631,3.33E-10
,TYMP,1.23191035,2.12E-20
,NCAPH2,-1.088791401,1.65E-17
,TOMM34,-0.496996515,5.40E-06
,SEC63,0.114297003,0.322737914
,KPNA6,-0.077802971,0.556111728
,VIM,0.391030631,4.69E-06
,FAS,0.843723896,3.43E-06
,RNASET2,0.052111141,0.724728225
,CD44,0.24454026,0.026970293
,KCNG1,0.070603089,0.92254647
,AGPAT4,0.246951892,0.219368922
,SLAMF7,1.153584111,0.026826583
,BTN3A1,0.331298934,0.001524741
,MIPEP,-0.144779603,0.523406324
,PRKCH,-0.163347153,0.522346121
,INSRR,-0.626953179,0.263832419
,IFNGR1,1.022010844,1.89E-19
,B4GALT7,0.15983293,0.355243895
,SH2D2A,-1.625947263,7.35E-06
,VRK2,-0.188660395,0.382827685
