DESeq2_PDX3_CBAM44728_MLL-AF10_MEN1-WT_vehicle vs. MEN1-WT_VTP50469,Gene,log2FC,padj
,PITRM1-AS1,0.111523915,0.848600395
,AC006960.3,0.301872076,0.654860859
,LINC01304,0.041983092,NA
,CAMTA1-IT1,NA,NA
,NDUFA9P1,-0.055710892,0.955317713
,AP000552.2,NA,NA
,ART2BP,-0.031718829,NA
,AL513302.1,0.17309213,0.795613334
,NRXN2-AS1,-0.329591657,0.590282246
,PRSS56,NA,NA
,AC096531.2,-0.045121641,NA
,AL365204.2,NA,NA
,NRBF2P3,0.110465773,NA
,XRCC6P1,-0.326238358,0.660809421
,AC069257.3,-0.205814339,NA
,AL954642.1,0.253562192,NA
,AL158071.4,-0.316075102,0.606783621
,LINC01522,-1.743714547,4.51E-09
,FOXD2-AS1,-0.590105467,0.008806373
,RPSAP2,0.041983092,NA
,ZIK1P1,NA,NA
,TOMM22P1,NA,NA
,ASH2LP2,NA,NA
,BX293535.1,0.357313809,0.527061482
,RPS7P12,0,NA
,RPSAP11,0.636636708,0.315837361
,AL512635.1,NA,NA
,LINC02790,0,NA
,CAMTA1-DT,-0.258116472,0.723924099
,ASS1P12,NA,NA
,CECR7,-0.334806695,0.623995976
,Z83839.1,NA,NA
,ZNF737,-0.133792763,0.398070274
,RGL2,-0.022048287,0.930965582
,HNRNPA1P57,1.050405975,0.028659353
,OR13D2P,NA,NA
,AP001342.1,NA,NA
,AL359771.1,NA,NA
,RHEBP3,NA,NA
,CDC27P2,0.01571986,NA
,TAAR4P,0,NA
,RPL23AP71,-0.069017689,NA
,CDK2AP2P2,-0.082264122,0.924905408
,BHMG1,0.060950493,NA
,AC096536.1,NA,NA
,AC104849.1,0.058665803,NA
,LINC01351,NA,NA
,TUBB4BP3,0.04948796,NA
,LINC01661,0,NA
,AL359710.1,0.224920047,0.729523176
,LRRC52-AS1,0.031940044,0.970006303
,AL031663.2,NA,NA
,MTCO3P41,NA,NA
,USP9YP35,NA,NA
,AL359547.1,0,NA
,TUBB8P10,0.041983092,NA
,DCLRE1CP1,-0.174924678,0.757537878
,AC073115.2,-0.001034966,0.999889497
,AC245054.2,0.116712879,NA
,AC068759.1,0,NA
,RPL7P53,1.063212942,0.012526585
,LINC01637,0.601366426,7.59E-05
,AC093911.1,NA,NA
,AL390023.1,NA,NA
,AC007557.4,NA,NA
,AL355306.2,0,NA
,AL117350.2,0.455854058,0.488629411
,RPS27AP8,0,NA
,LINC01684,0.224905986,0.679095276
,VN1R48P,0.102281669,NA
,C10orf143,0.275163111,0.448712835
,RPS27AP17,NA,NA
,LINC01409,-0.4258461,0.364028413
,OR2L9P,0.041983092,NA
,AC034102.1,-0.644457821,0.270623926
,AL360007.1,NA,NA
,AC010105.1,0,NA
,WAKMAR2,0.599738529,0.146168305
,AL713851.2,NA,NA
,AC108667.2,-0.148897522,0.825355864
,AC239798.2,NA,NA
,PKN2-AS1,0.031100632,0.968120552
,RPSAP15,0.543581121,0.376087627
,GPAT2P1,0,NA
,UNC5B-AS1,0.235968756,0.753969676
,AC007384.1,-1.234138881,5.05E-08
,PTP4A1P7,0.041983092,NA
,SHISA9,0,NA
,DGCR5,0,1
,AL391832.1,0.117742976,0.880707873
,OR7E24,0,NA
,NONOP2,0.055238681,0.930965582
,LINC00857,NA,NA
,TEX51,NA,NA
,AC012668.3,0.087133641,NA
,AF241725.1,0,NA
,AL929410.2,NA,NA
,AL137847.2,0.365043751,0.521131066
,AL136140.1,-0.30352192,0.609233035
,AL672277.1,NA,NA
,AL672277.1,0,NA
,AC012451.1,NA,NA
,AC003669.1,NA,NA
,RPL36AP36,-0.081128593,0.909225155
,HLA-DQA2,-0.117386264,0.38349229
,MTCO3P17,-0.046267072,NA
,XKRYP6,NA,NA
,IGHJ2P,NA,NA
,TTLL11-IT1,0.009519399,0.986644282
,AC092570.3,0.472095939,0.492876491
,AC243919.1,0.252724222,0.037765309
,AC096775.1,0.078834053,NA
,LINC02567,NA,NA
,AL133547.1,-0.031718829,NA
,AL031681.2,NA,NA
,KCND3-AS1,NA,NA
,YWHABP1,1.148892286,0.023994021
,CDY7P,NA,NA
,LINC01497,0,NA
,TTTY21B,NA,NA
,AC090955.2,NA,NA
,LINC02836,-0.317544457,NA
,AC099063.1,NA,NA
,TUBAP,0.994500704,0.019162449
,LINC02862,-0.031718829,NA
,AC092001.1,NA,NA
,LINC01856,-0.031718829,NA
,PYY2,-0.934934997,0.007783281
,LINC01888,1.104371311,0.03685848
,LINC01514,0,NA
,GCSHP3,NA,NA
,AC005538.1,0,NA
,AC093166.4,-0.260731907,NA
,RAC1P4,-0.2080633,0.76561667
,LINC00407,0.041983092,NA
,AC090192.1,-2.484228874,3.10E-08
,AL590666.3,0,NA
,HMGN1P32,0.044269957,0.960629492
,AL137026.2,NA,NA
,IGKV1OR10-1,NA,NA
,AL445220.1,1.138975307,0.027498164
,AP000251.1,-1.398887136,0.000661508
,LINC01275,-0.635176824,0.306769877
,AL138828.1,0.153772996,0.845649122
,AP000358.1,NA,NA
,HMGB3P12,NA,NA
,AP001056.1,-0.616505286,0.322726695
,DYRK3-AS1,0.024374775,0.974631904
,AC091286.1,0,NA
,AF064858.2,0.494408104,0.449573664
,OR4C50P,NA,NA
,AC091951.2,0.078834053,NA
,AP002856.4,NA,NA
,FAM138A,NA,NA
,AC073257.2,NA,NA
,USP9YP32,NA,NA
,AC013410.2,0.041983092,NA
,BTBD7P2,NA,NA
,OR3B1P,-0.031718829,NA
,GCNT1P5,0,NA
,OR9A1P,0.041983092,NA
,ELOCP18,NA,NA
,AL591503.3,0.041983092,NA
,OXCT2P1,-0.253936649,0.676872684
,AL161629.1,-0.192196751,0.815822796
,MTCO2P19,NA,NA
,UQCRHP2,-0.077473876,NA
,NIFKP9,NA,NA
,AL161454.1,0,NA
,S100A11P1,0.035446505,0.964261295
,AC104623.1,0.104331834,0.909510784
,DUX4L29,NA,NA
,ANKRD26P3,-0.065005192,0.946725793
,FRY-AS1,1.120383387,0.026013512
,LINC02245,-0.097399629,0.764658473
,AC064862.5,NA,NA
,AC004522.4,-0.031718829,NA
,AC073476.1,-0.393053646,0.592720534
,HMGB3P5,0.005132131,NA
,AL365226.1,NA,NA
,AC092967.1,NA,NA
,HLCS-IT1,-0.058633466,NA
,KIFC1,-0.807199654,3.48E-11
,OR11Q1P,-0.031718829,NA
,C2orf74,-0.198819704,0.3825591
,AC026320.2,0,NA
,AP003025.1,-0.250835221,0.744190863
,AC073834.1,NA,NA
,RNASEH2CP1,NA,NA
,AC092474.2,-0.078097664,0.899444674
,SOCS2P1,0,NA
,DNAJC19P7,NA,NA
,LINC00316,NA,NA
,GRM7-AS2,NA,NA
,AC097527.1,0.005132131,NA
,LINC01115,NA,NA
,RPS15AP38,0.48390312,0.296347782
,AL671277.2,-0.308885766,0.684675639
,LINC01866,NA,NA
,GAGE12C,NA,NA
,KRR1P1,0.059969309,0.951620034
,GSTA7P,NA,NA
,TEX36-AS1,NA,NA
,RPL30P4,0.894308075,0.115053037
,VDAC1P11,0.64867317,0.257600191
,AC234775.2,0.302764117,0.698268584
,RPSAP35,NA,NA
,AL139039.3,NA,NA
,AL109615.3,-0.93259327,0.046285389
,LINC00686,0,NA
,AC007064.2,NA,NA
,IFNWP2,NA,NA
,IRGM,-1.082493566,0.045747394
,BX072579.1,NA,NA
,PRAMEF33,NA,NA
,ATP5PFP1,-0.171955625,NA
,TRBV3-1,NA,NA
,AP004289.2,-0.031718829,NA
,AC008937.2,0.323334653,0.610793514
,TRIM51EP,NA,NA
,AL031726.1,NA,NA
,AL139397.2,-0.101004063,NA
,EEF1A1P28,0.878337007,0.11588096
,MTCO3P11,0.223671165,0.756366628
,AC011287.2,NA,NA
,P4HA2-AS1,NA,NA
,AL136309.2,-0.807132568,0.058162375
,BX276092.8,NA,NA
,AC009095.1,NA,NA
,Z95152.1,0.664132911,0.24841955
,AC011995.2,-0.031718829,NA
,MTND1P29,0,NA
,CAMTA1-AS2,0,NA
,AC002075.2,0.119116977,0.894350747
,AC078991.1,2.242382076,5.24E-07
,RNGTTP1,-0.031718829,NA
,CT75,0.697581238,0.115096333
,AL163192.1,0.138239682,NA
,AF130359.1,NA,NA
,DCTN1-AS1,0.879736926,0.119339642
,RNF216-IT1,-0.190294753,NA
,NPAP1P3,-0.031718829,NA
,AC002368.1,0.579098199,0.20624601
,AL365259.1,0.059970287,NA
,FBP2P1,NA,NA
,RPL22P8,0.288896332,0.581919501
,ZNF101P1,-0.031718829,NA
,AL160279.1,NA,NA
,UQCRBP1,0.291681401,0.528306414
,AL034379.1,2.617869063,9.22E-11
,KCNH7-AS1,0,NA
,LINC01143,0,NA
,AL354685.2,NA,NA
,AC079922.2,0.011261731,0.972429187
,AC093655.2,0,NA
,AL592435.2,-0.080340629,NA
,EEF1A1P30,0.48381625,0.344368515
,BANF1P3,-0.43898248,0.296818321
,AL590483.2,NA,NA
,AC023669.2,NA,NA
,AL161646.1,NA,NA
,AMY1A,-0.031718829,NA
,FAM200B,1.043841281,6.51E-16
,GGTA2P,-0.007152612,0.992655892
,LINC01370,0.007598909,NA
,AL731563.3,0.041983092,NA
,SPATA31D2P,0,NA
,LINC02631,0.960093329,0.079096752
,AC073332.1,-5.26599843,1.74E-66
,AC126615.1,0.512443895,0.408205138
,DDR1-DT,0,NA
,ADAMTSL4-AS2,1.057386342,0.031652274
,AL020989.1,NA,NA
,AL356441.2,0,NA
,AC097713.2,0.500473843,0.457829931
,GFOD1-AS1,NA,NA
,C3orf79,0.041983092,NA
,AL162615.1,0.53149651,0.42721856
,LINC01318,0,NA
,RPL18AP16,0.337422932,NA
,MACORIS,1.122064042,0.015686605
,AC010894.4,0.023839407,0.975095721
,CICP11,0,NA
,AMD1P2,-0.031718829,NA
,AMD1P2,NA,NA
,FAM197Y6,NA,NA
,LINC00211,1.231358429,3.69E-06
,HNRNPA1P39,-0.334656308,0.663554133
,FAUP2,0.283056213,NA
,AC022034.1,0,NA
,AC104852.1,-0.043506147,NA
,AC002066.1,0,NA
,RPL21P109,-0.08774413,NA
,RPS3AP29,0.01457859,0.979815367
,CDK6-AS1,-4.178401097,7.82E-37
,AC083873.1,-0.087746212,0.890006441
,CDY19P,NA,NA
,RPL23AP33,0.005132131,NA
,RPS15AP29,0.438419457,0.347409808
,PA2G4P1,0.880783062,0.107213839
,AL138808.1,0.041983092,NA
,AL391380.1,NA,NA
,AC007064.3,NA,NA
,PHKA2-AS1,-0.280218979,0.71057674
,AC159540.1,NA,NA
,AC092422.1,0,NA
,FAM21FP,0.215622332,0.713193972
,KRTAP19-9P,NA,NA
,AL157713.1,0.019001736,0.976512533
,AC016903.2,NA,NA
,AC016766.1,NA,NA
,AL139161.1,-0.090500994,NA
,AL773545.3,-0.347021832,0.628456562
,AL606489.2,-0.18186155,NA
,NFYAP1,NA,NA
,AC091304.1,NA,NA
,AL023584.2,NA,NA
,AC119800.1,0.11164729,NA
,NFIA-AS1,0,NA
,LINC00674,-0.204080237,0.581442957
,AC062020.1,NA,NA
,EEF1A1P31,0.359227808,NA
,BX119904.4,NA,NA
,AL513325.1,0.222654848,0.732498406
,Z94160.1,0,NA
,AL035425.2,NA,NA
,LINC00322,NA,NA
,AC097533.1,-0.099312444,0.882568458
,AC073130.1,0,NA
,POU5F1P4,-0.177034413,NA
,AL158053.1,NA,NA
,AL136972.1,NA,NA
,AL353691.2,-0.125386563,0.888864773
,AKR1B1P4,0.041983092,NA
,LINC01473,1.305166355,0.012035313
,LINC00398,0.123251567,NA
,LINC01885,NA,NA
,PPIAP13,0.79493752,0.160315375
,DGUOK-AS1,0.27322754,0.574214401
,AL359672.1,NA,NA
,NALT1,1.265780491,5.38E-05
,RPL23AP32,0,NA
,AC087650.1,0.118358223,0.871535693
,AL441985.1,NA,NA
,KLF7-IT1,0.178585848,0.839560079
,AC005008.2,NA,NA
,AL512844.2,0.072125518,0.943248632
,AL031289.1,-0.455774659,0.517704729
,AC009161.1,NA,NA
,TSPY21P,NA,NA
,AC004000.1,-0.114100949,0.895926273
,BX284632.2,NA,NA
,MUPP,-0.169395584,NA
,MTCO1P18,-0.037903778,NA
,SRP68P3,0,NA
,FTLP19,0,NA
,SIRPG-AS1,-0.148595909,NA
,AC011753.4,0,NA
,PARP4P1,0.700618956,0.250871307
,LRRC7-AS1,0.338993494,0.588304321
,AL162591.1,0,NA
,AC004543.1,-0.547061769,0.402065101
,AL450309.1,0.008644214,NA
,LINC02570,NA,NA
,RPL21P112,-0.031718829,NA
,AC239367.3,0,NA
,AL078604.2,-0.097266981,0.917092692
,NFIA-AS2,0,NA
,RPL31P3,NA,NA
,AC007563.3,-0.06856979,NA
,CLIC4P3,0,NA
,AL590729.1,-0.030407503,0.972976552
,AL353093.1,NA,NA
,LINC02702,-0.031718829,NA
,AL450998.3,0.057876255,0.916625773
,AC097523.2,-0.182308687,0.806823126
,LINC01238,1.220685446,0.011845394
,KCNQ1DN,0.041983092,NA
,PRKCQ-AS1,-1.103257993,7.19E-06
,LINC00649,-0.24490603,0.451210534
,AL583854.1,NA,NA
,MTATP6P20,NA,NA
,LINC00844,NA,NA
,AL357079.1,-0.306375865,0.441075636
,PPIL1P1,-0.031718829,NA
,RPL7AP73,0,NA
,AC013267.3,0.370915425,0.510122837
,AL445218.1,NA,NA
,AC245884.4,-0.0613189,0.951084464
,TRIAP1P1,NA,NA
,CT47A5,NA,NA
,RPL36AP10,0.313051396,NA
,AC118282.1,0,NA
,AL441964.1,NA,NA
,AC068042.1,0.041983092,NA
,AC007322.3,NA,NA
,TMEM161BP1,0.212308959,0.719804743
,AL445523.1,0,NA
,TUBG1P,0.306545005,0.680065051
,MTCO1P12,-0.32814186,0.148649708
,AC000111.2,NA,NA
,FLG-AS1,-0.088105042,0.904113714
,AL391069.2,-0.767048441,0.012559128
,EIF4HP2,0.030993206,0.965009032
,KCNMB2-AS1,-0.206200214,0.759905897
,AC007389.4,0.005132131,NA
,LINC02773,0.176035925,NA
,AP006193.1,0.041983092,NA
,PTENP1,0.131678605,0.670025117
,CELF2-AS2,-0.031718829,NA
,AL606970.4,NA,NA
,OR2I1P,NA,NA
,LINC01679,-0.056754549,NA
,CNTN4-AS1,0,NA
,RPL35P1,0.163535563,0.662250426
,LINC01808,NA,NA
,AL365318.1,0.380767952,0.53816406
,AC003659.1,NA,NA
,RCC2P2,NA,NA
,ACTG1P19,-0.119213251,0.886654183
,AC116347.1,0.198004133,0.7233831
,SNRPCP1,NA,NA
,NPAP1P6,0.041983092,NA
,RPL10P4,0.357400764,0.518693268
,AC009227.2,NA,NA
,AL391832.2,0.265810142,0.124261573
,AC024619.1,NA,NA
,COX6CP10,-0.029260297,0.970785921
,AL627309.1,0.227130915,0.743620357
,AL161908.2,NA,NA
,AC114752.1,NA,NA
,AC109583.2,NA,NA
,AC104837.2,0.041983092,NA
,AC093110.1,-0.063802738,0.951041592
,AL360169.1,NA,NA
,HTR3E-AS1,-0.031718829,NA
,ARMC4P1,-0.076690483,NA
,LMX1A-AS1,NA,NA
,DDX39BP2,0.011475454,NA
,ZDHHC4P1,0.597812706,0.203991169
,AC117434.1,0.041983092,NA
,AC012493.1,-0.183694267,0.8196437
,AC090505.2,NA,NA
,AC245047.7,0.261090633,NA
,AL109807.1,0.041983092,NA
,AC138035.1,0.973091981,0.079682023
,OOSP1P1,NA,NA
,ATP6V0E1P3,0.138635252,NA
,AC244197.2,-0.036556855,0.969270764
,SALL4P2,0,NA
,AP004245.1,-0.024321748,0.97751212
,LINC02257,2.776963729,6.54E-23
,AC024559.1,0.056014716,0.957731592
,AC009133.1,-0.398266106,0.056176688
,MTND5P22,NA,NA
,MTND1P30,0.005132131,NA
,ART2P,NA,NA
,Z92846.1,-0.031718829,NA
,ISCUP1,NA,NA
,AL691515.2,NA,NA
,Z98742.3,-0.03350489,0.96869537
,ZEB2-AS1,-0.331653222,0.188985631
,AL355574.1,0.179750587,0.74274878
,HSPE1P21,NA,NA
,AL356273.4,0.106110899,NA
,SPATA3-AS1,-0.031718829,NA
,LINC01685,0.041983092,NA
,AC010740.1,0.041983092,NA
,AC005002.2,0,NA
,XKRYP1,NA,NA
,RPLP0P7,0.041983092,NA
,AC009244.1,0.307480246,0.587971302
,RBMY2HP,NA,NA
,TSPY9P,NA,NA
,RPSAP32,NA,NA
,MRPL48P1,-0.078673873,NA
,NMNAT1P3,NA,NA
,LINC01352,0.252250921,0.738924364
,AL356121.1,-0.031718829,NA
,AC099063.2,0.007209089,NA
,AC009948.1,-0.75102519,0.121411693
,LRRC37A2,-0.098725163,0.746410294
,AL031284.1,0.17823307,0.773258073
,AL590682.1,-0.195881818,0.812854915
,PPP1R26P1,-0.450196873,0.512382533
,FMO8P,0,NA
,OFD1P7Y,NA,NA
,AC006195.1,NA,NA
,CEACAMP6,NA,NA
,AC245036.4,NA,NA
,LINC02037,0.10993787,0.868596949
,ABCA17P,0.372165186,0.613133888
,LINC01625,-0.228006934,0.746948286
,AL080248.1,NA,NA
,RPL9P7,-0.026601834,0.973931671
,GOLGA2P5,-0.488588695,0.027330024
,LINC02806,0.011686956,NA
,AL139135.2,NA,NA
,AC004893.1,0.061795757,0.953111878
,AL353572.2,0.366149295,0.623203777
,AC066692.1,0.554145143,0.228042004
,LINC01410,0.993764005,1.02E-15
,Z95327.2,0.580935043,0.370989605
,AP000844.2,NA,NA
,SLC25A24P2,0.205555658,0.810728671
,LINC01589,0.11692733,NA
,LINC00426,0.317103451,0.622146732
,AL359258.1,0.061630119,NA
,MID1IP1-AS1,-0.911298564,0.043640289
,AC114501.3,NA,NA
,SLC9A3P2,0,NA
,AL121904.1,NA,NA
,LINC02854,NA,NA
,CASC4P1,-0.27493309,0.732363993
,MAP3K20-AS1,-0.448922698,0.525264176
,USP9YP10,NA,NA
,ARPC3P2,-0.207605717,0.787546136
,AC027124.2,NA,NA
,AL590559.1,NA,NA
,AC104170.1,-0.091866983,NA
,BRWD1-AS1,-0.295263216,NA
,BX284668.5,-0.576211137,0.105105177
,AL161631.1,0,NA
,AL731892.1,NA,NA
,AC104978.1,NA,NA
,AC008753.1,0.115946413,0.882943048
,MLLT10P1,NA,NA
,OR7E140P,0.249753028,0.327532133
,Z99755.1,0.016358362,NA
,USP9YP4,NA,NA
,AL445465.3,0.010505186,NA
,AL391422.3,-0.031718829,NA
,LINC02863,-0.147597336,0.746948096
,OR7E117P,NA,NA
,AC009237.11,NA,NA
,TNFRSF14-AS1,4.449741011,6.65E-43
,AC007560.1,0.052124589,0.960473317
,AC022748.1,-0.031718829,NA
,AC137055.1,-0.192407513,NA
,LINC01053,NA,NA
,AC068196.1,-0.232340343,0.671826084
,RPS2P35,0.792853415,0.152593373
,RPL39P6,0.029792204,0.970785921
,AL390061.1,NA,NA
,AC078993.1,0.350035672,0.626571618
,AC017079.2,0.014359835,NA
,AHCYP2,0.515780626,0.197189253
,RPS27P5,NA,NA
,CD81-AS1,-0.331023093,0.667968767
,AL353680.1,NA,NA
,AL603839.2,-0.778347219,0.057062939
,AL049733.1,-0.062021828,NA
,ENOX1-AS2,NA,NA
,HMGB1P15,0,NA
,CLUHP1,NA,NA
,BX284656.2,NA,NA
,AC112656.1,0.750403403,0.121445846
,AL121908.1,-0.434893728,0.458633775
,AL021153.1,NA,NA
,PAXBP1-AS1,0.313940037,0.076087886
,LRIG2-DT,0.080801953,0.926486471
,UBE2V2P3,0.018266412,0.978439112
,MGAT2P2,NA,NA
,AC114752.2,NA,NA
,MPC1L,0.30837083,NA
,AC009312.1,NA,NA
,ETDA,0.160762985,NA
,POLR2LP1,0,NA
,LINC02096,-0.050106993,0.961171831
,TARDBPP2,0.06840071,0.947379589
,AL513185.4,0,NA
,LINC01877,0.410308646,0.555186931
,AP000275.1,0,NA
,AL139095.4,0.07593036,0.939704565
,MKRN4P,0.799759093,0.057248198
,AL121878.1,NA,NA
,AC104462.2,0.111276625,NA
,CRIP1P2,0,NA
,TMEM250,-0.235568509,0.074731669
,OR7E7P,0.070821106,0.945141547
,LINC00391,0,NA
,AL512288.2,0.406934717,0.556834843
,AL356364.1,NA,NA
,TSPY11P,NA,NA
,MTCYBP14,NA,NA
,CCR12P,0.005132131,NA
,LINC02778,NA,NA
,OR2W3,0.177973568,0.841807091
,GABARAPL3,NA,NA
,MYO5BP2,0.005132131,NA
,AC069549.1,0.244654213,0.698025031
,AC006210.2,0.106706924,0.878155989
,HMGN2P17,0.626191558,0.293399264
,ST6GAL2-IT1,NA,NA
,AL133477.1,-0.55212937,0.296607167
,AC008496.1,0.965414204,0.042738162
,MTND5P20,NA,NA
,AP000244.1,NA,NA
,AL121748.1,NA,NA
,AC067940.1,0.041983092,NA
,AL513320.1,-0.216838054,0.780661476
,NTM-IT,NA,NA
,RPL21P88,NA,NA
,LINC00317,NA,NA
,LINC00707,-0.133576968,0.865294447
,AC104850.1,-0.03713166,NA
,PAGE2B,-0.271294419,NA
,AL591504.1,NA,NA
,IFNWP19,NA,NA
,AL139142.1,0,NA
,AC108058.1,0.032835426,0.965083059
,HOMER2P2,NA,NA
,AL354863.1,NA,NA
,AC068483.1,NA,NA
,ALG1L6P,0.453312486,0.413811121
,BX470102.1,0.24125483,0.764658473
,AC067751.1,0.211882894,NA
,AL121781.1,NA,NA
,TBC1D3P1,NA,NA
,LINC01448,NA,NA
,MRPL50P2,0.097425245,NA
,SLC35E1P1,0.196865423,0.821612214
,AL603839.3,-0.208222662,0.703689267
,MTND3P23,0.016605766,NA
,AL034417.3,-0.031718829,NA
,AL391704.2,0,NA
,AC019080.2,-0.088852301,NA
,AC005046.1,NA,NA
,SNORD121B,0,NA
,RNU7-120P,NA,NA
,RNU7-50P,0,NA
,SNORD13E,0.113308115,NA
,AL627082.2,NA,NA
,SNORD11,-0.095138393,0.907542781
,RN7SKP198,0.041983092,NA
,AC016596.2,-0.067666574,NA
,SNORD126,0,NA
,RNU7-148P,NA,NA
,AC004969.1,0.112560556,NA
,SNORA13,-0.01232713,0.987132843
,RNU7-140P,-0.081580425,0.915078238
,RNU7-57P,0.011240161,NA
,AL359960.1,0.005132131,NA
,MIR2113,NA,NA
,RNU7-103P,0.041983092,NA
,AC010145.2,0,NA
,AP001329.1,NA,NA
,RNU7-180P,-0.031718829,NA
,RNA5SP103,NA,NA
,RNU7-165P,NA,NA
,RNU6-1211P,NA,NA
,RNU7-48P,0.012889551,NA
,AC122179.1,NA,NA
,AP000254.1,0.426581477,0.551510623
,RNA5SP233,NA,NA
,MIR2053,NA,NA
,RNA5SP311,-0.071564213,0.92348323
,RNU7-171P,0.132931812,0.84758703
,AC007099.3,NA,NA
,RNU7-63P,0.220999516,0.70825835
,RNU7-186P,-0.031718829,NA
,RNU6-437P,-0.167272881,NA
,SNORD42B,0.010254211,NA
,AL391647.2,NA,NA
,RNU7-136P,NA,NA
,RNU7-157P,NA,NA
,AC135279.1,NA,NA
,RNU7-130P,NA,NA
,AP006310.1,NA,NA
,RNU6-893P,0,NA
,RNU7-38P,NA,NA
,RNU7-134P,0,NA
,RNU7-144P,NA,NA
,RNU6-1014P,NA,NA
,RNU7-169P,0,NA
,RNU7-14P,NA,NA
,RNU6-498P,NA,NA
,RNU6-1208P,NA,NA
,AL161777.1,NA,NA
,RNU6-749P,NA,NA
,Z98200.1,-0.07378927,0.926442176
,RNU6-221P,NA,NA
,SNORD13P1,0.013740534,0.983094847
,RNU7-87P,0,NA
,AC013471.1,NA,NA
,RNU6-104P,NA,NA
,AC024267.1,0,NA
,MIR1270,-0.377071031,0.583944426
,AC019322.1,NA,NA
,RNU7-107P,NA,NA
,RNU6-599P,NA,NA
,SNORD105B,0,NA
,RNU7-93P,NA,NA
,RNU7-104P,NA,NA
,RNU6-1193P,NA,NA
,RNU1-88P,0.078834053,NA
,RNU7-21P,NA,NA
,AC004980.4,NA,NA
,RNU6ATAC28P,NA,NA
,RNU7-159P,NA,NA
,AC092654.1,NA,NA
,AP005136.1,-0.158538445,0.818871965
,SNORD4A,NA,NA
,RNU7-167P,NA,NA
,AC069200.1,NA,NA
,RNU7-54P,-0.031718829,NA
,AL355497.3,0,NA
,SNORD4B,NA,NA
,RNU7-7P,0.041983092,NA
,RNU7-94P,NA,NA
,RNU7-26P,NA,NA
,RNU6-300P,NA,NA
,RNU6-775P,NA,NA
,SNORD97,NA,NA
,RNA5SP489,NA,NA
,AL133211.1,NA,NA
,RNU7-126P,NA,NA
,AC079416.1,NA,NA
,SNORD42A,NA,NA
,SNORD54,NA,NA
,RNU7-62P,NA,NA
,RNU6-625P,NA,NA
,RNU6-333P,NA,NA
,RNU6-1037P,NA,NA
,AC092365.1,-0.031718829,NA
,AC020589.1,NA,NA
,RNU6-261P,NA,NA
,RNU7-147P,NA,NA
,RNU7-97P,0,NA
,MIR1976,NA,NA
,AC025039.1,NA,NA
,RNU7-56P,0,NA
,RNY4P25,-0.06928025,NA
,AC096757.1,-0.171463243,NA
,RNU7-96P,0,NA
,RNU7-194P,NA,NA
,AC217773.1,-0.087376989,NA
,AC020549.1,NA,NA
,MIR1972-1,0,NA
,RNU7-164P,NA,NA
,RNU7-90P,NA,NA
,RNU7-113P,0,NA
,SCARNA7,0.370336359,0.613845161
,AC113340.2,NA,NA
,AL391987.5,NA,NA
,RNU7-27P,NA,NA
,SCARNA18B,0.041983092,NA
,LINC02006,0.493716748,0.27575443
,RNU7-155P,NA,NA
,AL591521.1,NA,NA
,AL845433.1,NA,NA
,RNA5SP57,0,NA
,RNU7-141P,0.012659887,NA
,RNU7-80P,NA,NA
,RNU7-9P,NA,NA
,AC019322.2,NA,NA
,RNU7-92P,NA,NA
,RNU7-182P,NA,NA
,RNU7-152P,NA,NA
,SNORD124,-0.074971084,0.940760594
,SCARNA12,0.078834053,NA
,AC021148.2,NA,NA
,AC091133.2,NA,NA
,RNU7-102P,NA,NA
,RNU7-127P,NA,NA
,AC010127.1,NA,NA
,AC091074.1,NA,NA
,RNVU1-2,0.012691305,NA
,RNU7-45P,0.411325092,0.390299929
,RNU7-46P,NA,NA
,AC004839.1,0.349621101,0.581317912
,RNU1-131P,NA,NA
,SCARNA18,0.11592488,0.872619621
,LINC02031,NA,NA
,AC091817.1,0.041259459,0.965658023
,RNU7-106P,NA,NA
,AC122108.1,NA,NA
,AC100803.1,NA,NA
,SNORD19B,NA,NA
,RN7SKP210,NA,NA
,RNU7-59P,0.270555261,NA
,RNU6-329P,NA,NA
,RNU7-85P,NA,NA
,SNORD121A,-0.045125614,NA
,RNU1-80P,NA,NA
,AC100872.1,NA,NA
,AC026671.1,NA,NA
,RNU7-34P,NA,NA
,AC004912.1,NA,NA
,RNA5SP484,NA,NA
,AC137675.2,-0.031718829,NA
,RNU7-196P,NA,NA
,SNORD10,NA,NA
,RNU7-1,NA,NA
,RNU7-82P,0,NA
,AL135749.1,NA,NA
,AL935212.3,NA,NA
,AL591806.3,0.11699477,0.883732792
,SNORD65B,NA,NA
,RNU6-953P,0,NA
,SNORD2,NA,NA
,AC092184.1,NA,NA
,RNU7-66P,NA,NA
,RNU7-173P,NA,NA
,RNU7-19P,0.041983092,NA
,SNORA47,0.328749276,0.600317078
,RNU7-176P,NA,NA
,AL121952.2,-0.078557767,NA
,RNU7-125P,-0.037182817,NA
,RNA5SP351,NA,NA
,AC090571.1,0.117193292,NA
,RNU7-133P,NA,NA
,RNU7-187P,NA,NA
,RNU6-420P,NA,NA
,SCARNA10,0.041983092,NA
,RNU7-88P,NA,NA
,AC097376.1,0.05329758,0.959876989
,RNU7-95P,NA,NA
,AL590031.1,NA,NA
,RNU7-74P,NA,NA
,SNORD108,NA,NA
,RNA5SP246,0.041983092,NA
,RNU1-98P,NA,NA
,RNU6-956P,NA,NA
,SNORD13D,0,NA
,SNORD13,NA,NA
