DESeq2_MV4;11_MEN1-WT+1uM SNDX5613 vs. MEN1-WT+DMSO,Gene,log2FC,padj
,ELOA,-0.31000993,4.65E-05
,LYPLA2,-0.129146996,0.134515074
,CLCN6,-0.586072888,1.88E-12
,MRC2,0.073721109,0.362075546
,SLC6A7,-0.010507685,NA
,TSPAN9,-1.909209673,4.21E-09
,BTBD7,0.351228341,1.28E-05
,APBA3,-0.221632854,0.080131228
,MKS1,-0.012528132,0.94365311
,ABHD5,0.404424268,0.000523134
,ANOS1,0.293860063,0.350904591
,AKAP8L,0.141389919,0.126323123
,MBTD1,-0.337297976,9.66E-07
,UTP18,-0.429751813,2.98E-13
,RNF216,-0.180915905,0.005103255
,TTC19,0.066821561,0.470749864
,PTBP1,-0.163398528,0.007480911
,DPF1,0.245974272,0.594679727
,SYT7,-0.193236782,0.665976588
,LARS2,-0.311149787,6.08E-05
,PIK3C2A,0.017368933,0.898798818
,PLAUR,-0.912181637,2.69E-35
,ANLN,-0.003516563,0.971916047
,WIZ,0.191869012,0.030497726
,RABGAP1,0.151398476,0.104221379
,DCN,-0.025928583,NA
,QPCTL,-0.267209921,0.003028064
,PPP5C,-0.311846683,5.49E-07
,CEP68,0.337018253,6.36E-05
,MAP4K3,0.177578636,0.217115171
,ZBTB32,0.806014994,0.03045383
,TYROBP,0.779051583,1.13E-37
,TMEM159,0.062785519,0.710985212
,GABRA3,0,NA
,BRCA1,-0.115930039,0.082410767
,ERCC1,0.120557251,0.156688016
,CD22,0.516307989,0.164295614
,SEMA3B,0.747761617,0.021396333
,MBTPS2,-0.108821597,0.331385193
,PRICKLE3,-0.115748888,0.341942059
,LTF,-0.051539344,NA
,EXTL3,0.019467488,0.848767876
,NR1H4,0.01191074,NA
,ELOVL5,-0.173092552,0.006137977
,ALOX5,2.022424459,1.27E-09
,KDM5D,0.54487048,6.63E-18
,CALCOCO1,0.822677704,2.31E-21
,UBR7,-0.215892759,2.58E-05
,MAP4K5,-0.372918909,3.62E-06
,EHD3,-0.381143404,0.375593275
,PSMC4,-0.371432691,2.82E-11
,MAN2B2,0.515999096,2.26E-21
,SLC7A14,0,NA
,CLDN11,0.358937117,0.126903568
,SLC25A39,0.056085444,0.491981686
