DESeq2_MV4;11_MEN1-WT+1uM SNDX5613 vs. MEN1-WT+DMSO,Gene,log2FC,padj
,LY6G6D,NA,NA
,RN7SL398P,NA,NA
,RN7SL145P,0.151597282,0.608372161
,AC055758.2,0,NA
,RPL30P7,0.162703141,0.623111232
,KRTAP19-7,NA,NA
,RPL7P23,0.076427967,0.806063643
,PFN1P8,NA,NA
,RN7SL423P,NA,NA
,RN7SL636P,0,NA
,RPS2P45,0.022826146,NA
,AC134772.1,-0.015331101,NA
,AC007849.2,-0.05569848,0.881924969
,FAM3D-AS1,0,NA
,RN7SL359P,0,NA
,RN7SL242P,0,NA
,RPS6P22,-0.068621822,NA
,RN7SL330P,NA,NA
,RN7SL869P,NA,NA
,RBMY1D,NA,NA
,AC116533.1,0.202388269,0.012222706
,RN7SL251P,NA,NA
,RPS4XP12,0,NA
,RN7SL314P,NA,NA
,RN7SL216P,NA,NA
,ETV5,-0.748824089,3.96E-13
,KRTAP5-7,0.005028735,NA
,RPL23AP56,NA,NA
,CFHR1,NA,NA
,RPL38P3,0,NA
,RN7SL268P,1.177111364,0.000104547
,AC105233.1,0,NA
,AC104629.1,0.001528583,NA
,RPL39P28,NA,NA
,AC023050.1,0,NA
,AC126182.2,NA,NA
,RPL34P21,0,NA
,SPECC1P2,NA,NA
,ENO1P1,NA,NA
,AC147067.1,0.054043309,0.869515202
,LINC02077,-0.009920073,NA
,RBM12,-0.073969158,0.344143307
,AC107029.2,0,NA
,AC093001.1,0,NA
,AC105918.1,NA,NA
,AL137058.1,NA,NA
,UGT1A4,NA,NA
,ERVFRD-1,0,NA
,OR2A1-AS1,NA,NA
,AC005154.2,1.220457858,0.000481717
,LILRA6,0.024472795,0.957210628
,RPL18P13,0.07939083,0.833317181
,SCARF2,0.562006279,0.042680655
,RWDD4P1,-0.604944484,0.114465882
,AL021707.5,0,NA
,SLC9A9-AS2,0,NA
,RN7SL623P,NA,NA
,HDAC11-AS1,-0.017367443,NA
,AC108751.5,-0.150888602,0.665215416
,APOBEC3C,0.012785175,0.868271995
,AC008267.6,0.132617826,0.794607845
,RN7SL28P,NA,NA
,AC109587.1,0.256036368,0.55219816
,RN7SL125P,NA,NA
,KRT18P34,0.148917181,0.740525689
,RN7SL700P,NA,NA
,AC022795.1,0.042913835,0.940329384
,SEPTIN14P2,NA,NA
,RN7SL380P,0.01191074,NA
,RN7SL211P,NA,NA
,AL049714.1,0.078372539,0.795182638
,KRTAP4-2,NA,NA
,AC098583.1,0.091890507,0.860435879
,AC087884.2,NA,NA
,LINC01213,NA,NA
,RN7SL446P,0,NA
,AC092924.1,0,NA
,RPL34P29,NA,NA
,ODCP,0.159193769,0.687314943
,KCNK15-AS1,-0.12780379,0.781537522
,AC091179.2,NA,NA
,AC004890.2,0.996955334,1.70E-06
,AC092905.1,0,NA
,AC006011.2,NA,NA
,PRICKLE2-DT,NA,NA
,AC073901.1,0.01191074,NA
,RN7SL654P,NA,NA
,RPS6P4,NA,NA
,RPL30P11,0,NA
,LINC01391,0,NA
,RPL21P120,-0.120560959,0.818864488
,RPL12P33,0.074012629,0.885096237
,WNT5A-AS1,NA,NA
,RAD21L1,0,NA
,AC025062.1,0.213950631,0.635624012
,AC025518.1,-0.095686495,0.77819782
,CCDC13,0.371374124,0.290346391
,RN7SL756P,NA,NA
,PSPC1P2,-0.012381105,NA
,ASPRV1,0.411356213,0.325120097
,RN7SL334P,NA,NA
,AC243547.1,NA,NA
,AC246787.2,NA,NA
,RPS17P11,NA,NA
,OR2AE1,NA,NA
,KRTAP20-1,NA,NA
,MIATNB,0.324609532,0.167415529
,TPTEP2,0.26205918,0.548078896
,AC022493.1,NA,NA
,RN7SL863P,NA,NA
,AC096922.1,NA,NA
,RPS26P43,-0.020835479,NA
,RN7SL396P,0.121048043,NA
,XKRY2,NA,NA
,LINC02086,0,NA
,AC025566.1,NA,NA
,AC079382.1,NA,NA
,UBFD1P1,NA,NA
,AC008267.7,0.088607609,0.801410423
,TRBV12-1,NA,NA
,AC087312.1,0.000995333,NA
,SNRPCP3,NA,NA
,AC104689.1,NA,NA
,RN7SL280P,0.036455788,NA
,RPS3AP15,-0.116384498,NA
,AC108676.1,0.036720981,NA
,AL109761.1,0.073057264,NA
,RN7SL706P,NA,NA
,MTHFD2P1,0.01191074,NA
,FCGR2C,1.378989119,5.78E-05
,UBE2V1,-0.098602966,0.058338095
,RPL10AP1,0.004783503,NA
,RN7SL724P,0,NA
,CTAGE8,NA,NA
,PTCHD4,-0.250546486,0.470749864
,AC139453.2,0.035013835,NA
,AC004918.1,0.504184828,0.164863241
,CD46P1,0,NA
,AC020658.1,0,NA
,AC026353.1,0.899954114,0.003685679
,RPL23P10,0.012882191,NA
,RN7SL47P,0.01191074,NA
,AC084754.1,0.005167076,NA
,BX679664.3,-0.10675813,0.674323263
,RPS27P14,-0.009920073,NA
,AC055748.1,NA,NA
,RPSAP29,0.087545639,0.845325221
,ASLP1,0.955960425,0.008503706
,AC139451.1,-0.009920073,NA
,C4A,-0.083774597,0.858182432
,RN7SL870P,NA,NA
,AL132656.2,0.128169466,0.789890864
,HBB,0,NA
,AC026316.3,NA,NA
,AC092991.1,-0.009920073,NA
,AC087588.1,0,NA
,RN7SL153P,-0.015204926,NA
,CRYBB2,0.036523479,NA
,RPL15P21,0,NA
,N4BP2L2,0.292156438,8.30E-05
,AL049874.2,0.051524103,NA
,AL137024.1,NA,NA
,AC087667.1,NA,NA
,GABPB1-AS1,0.714724186,3.25E-08
,MTCYBP18,0.506693099,0.074064207
,ALKBH3-AS1,0.295745904,0.51761049
,AL449212.1,0.174841711,0.702490045
,AC136604.2,0.612219825,0.117406238
,AC123768.2,0.600433142,0.124348479
,AC087521.1,0,NA
,LIFR-AS1,NA,NA
,AC100803.2,-0.08012122,0.872305741
,AP001122.1,0,NA
,LINC02453,-0.145897836,0.687944262
,AC107959.1,0.01968252,0.972686905
,AC092718.1,-0.030174068,NA
,LINC00847,0.385720368,0.215548809
,IGFBP7-AS1,0,NA
,MIR3150BHG,0.217272138,0.433084402
,A2M-AS1,0,NA
,SMARCA5-AS1,-0.241349292,0.611186146
,MALINC1,0.39785643,0.23494724
,ARAP1-AS2,0.723640002,0.057815638
,RNF139-AS1,0.441573851,0.17356226
,AP001107.1,0.640386868,0.099237648
,LINC00861,-0.542492374,0.118096381
,EEF1A1P4,0.494663831,0.052024391
,AC105285.1,0.659547103,0.000920703
,USP2-AS1,-1.894113504,1.61E-12
,AL133375.1,NA,NA
,SAP30L-AS1,1.040864225,0.002134748
,AC124242.1,0.395943037,0.300783218
,AC096564.1,0.552955976,0.055510835
,ARNTL2-AS1,0.019376637,NA
,AC008393.1,0.433801351,0.2505941
,H2AZ1-DT,0.64087547,0.062141296
,AP005717.1,0.417744767,0.174122037
,CXXC4-AS1,0.01191074,NA
,AP003396.1,NA,NA
,AL357153.1,0,NA
,LINC02447,0.402161468,0.345231617
,LINC01585,-0.712771925,0.06237076
,AC046130.2,0.02824476,NA
,AP000866.1,0.29461262,0.502583818
,LINC02709,-0.280003936,0.531668241
,LINC00461,0,NA
,NEAT1,1.822566967,1.17E-19
,RORA-AS1,0.438017763,0.284639421
,AP000787.1,1.190340063,0.000374682
,SCAMP1-AS1,0.734627631,4.15E-06
,FAM111A-DT,0.573688125,0.008852793
,BDNF-AS,1.167812466,3.47E-06
,DACT3-AS1,-0.219783043,NA
,DDX11-AS1,0.091244097,0.859776048
,AC022075.1,-1.748875271,1.62E-07
,AC083805.1,0,NA
,LINC02211,0.037571356,NA
,AC006064.1,0.368354963,0.209385711
,ZNF585B,0.188519166,0.259796406
,FRG1-DT,0.159208178,0.751121946
,AC008659.1,-1.519136956,1.25E-13
,CRNDE,0.150363014,0.10652114
,NADK2-AS1,0.249181947,0.57471615
,AC009292.1,0.30874427,0.313541198
,LINC02226,NA,NA
,AC097382.2,0.665685408,0.065297579
,DRAIC,0.083952464,0.854492584
,AC106793.1,-0.025990036,NA
,LINC02202,0,NA
,MIR4300HG,0.34609623,0.207198912
,CEBPA,0.606177316,4.65E-07
,RAD51-AS1,0.612660467,0.051856798
,AF233439.1,0.143721802,0.6452631
,MEF2C-AS2,-0.097753296,NA
,AP004609.3,NA,NA
,LINC00682,0.012620462,NA
,NSMCE1-DT,-0.039272996,0.948936327
,AC025164.2,0.612042978,0.035295357
,SNHG6,0.395739993,1.56E-10
,AC112719.2,0.013120693,NA
,LINC01184,0.207598536,0.286215288
,LINC02273,0,NA
,AC093752.1,0.48621678,0.001461477
,AP003352.1,-0.200262303,0.632151318
,AC090515.3,-0.225207158,0.569831846
,LINC01513,0.002387308,NA
,ALDH1L1-AS2,0.01191074,NA
,RAB30-DT,0.381871399,0.089713799
,NUDT16P1,-0.596171238,0.004093754
,LINC02325,0,NA
,AC016065.1,0.254748672,0.134886169
,AP002026.1,-0.210344879,0.653327443
,LINC01096,0.003678046,NA
,LINC00900,0.405919292,0.110820857
,SUPT4H1P2,0.230907819,NA
,AC107959.2,0.254717415,0.510548928
,RRS1-AS1,0.237150026,0.614561462
,KCTD21-AS1,-0.462349948,0.142437254
,AL353807.3,0.03034783,0.958384989
,P4HA3-AS1,NA,NA
,AC024588.1,0.1652361,0.604203011
,LINC01550,0.012697934,NA
,AC006299.1,-0.048333598,0.924698599
,CASC8,0.012495188,NA
,AC087521.2,0.276012436,0.503652609
,UBR5-AS1,0.506847328,0.00722524
,SBF2-AS1,-0.040322476,0.898177464
,AC090510.1,NA,NA
,AC116535.2,0.129343869,0.805457899
,AC010230.1,-0.79558544,0.015664961
,AC113382.1,0.003783318,NA
,AC010198.1,NA,NA
,PRR7-AS1,0.330791623,0.459459103
,EXTL3-AS1,0.675804133,0.055819389
,AL049543.1,0.01191074,NA
,LINC02458,0.011962503,NA
,LACTB2-AS1,0.081930678,0.851794299
,PPM1K-DT,0.012222215,NA
,AC040168.1,-0.009920073,NA
,ZNF84-DT,0,NA
,DIAPH1-AS1,0.000995333,NA
,LINC00968,1.506968697,1.12E-05
,AL049840.2,1.216871746,2.90E-06
,AC138904.1,-0.365115197,0.27482051
,AF131216.1,0.029751304,0.961784878
,FZD4-DT,NA,NA
,LINC002481,-0.223993828,0.542848532
,AC079089.1,0,NA
,AC096746.1,NA,NA
,LINC02288,-0.024653239,NA
,UBE2D3-AS1,-0.744515806,0.037475484
,AC093162.3,0.256618708,0.584251391
,AC100861.1,-0.730491617,0.000176903
,AC139795.1,0.718236929,0.012222706
,CACNA1C-AS1,-0.010024878,NA
,PICART1,NA,NA
,LINC00535,-0.28158769,0.503921791
,RASSF8-AS1,-0.141140662,0.680148066
,H2AJ,-0.233640159,0.0273737
,AC100786.1,0.837864214,0.024087135
,PLA2G4E-AS1,0,NA
,RGMB-AS1,0,NA
,COL25A1-DT,0.01191074,NA
,AC044802.1,0.210568775,0.464650516
,AP000977.1,0.018921999,NA
,AC106038.1,-0.064076902,0.874841362
,RIC3-DT,NA,NA
,AL157938.3,0.010150646,NA
,STARD4-AS1,0.418277311,0.074656396
,GPR176-DT,-0.12129709,0.68907783
,LINC02466,NA,NA
,DNM1P35,0.089397288,0.784142329
,AP000487.1,0.128334519,0.801997444
,LINC00920,0.291526353,0.210215891
,UBAP1L,0.765293438,0.013716483
,Z84485.1,0.533775138,0.155819861
,SOCS2-AS1,0.210680649,0.517772701
,AC005920.1,NA,NA
,AC099508.1,NA,NA
,AC008443.2,NA,NA
,PGAM5,-0.632451554,3.32E-13
,BAALC-AS1,-1.164771777,0.000409986
,SNHG10,-0.215051597,0.203768921
,MIR210HG,-2.546663333,2.62E-16
,AC009126.1,-0.264557547,0.49644983
,AC138781.1,NA,NA
,AC025263.1,0.013175816,NA
,AC090204.1,-0.090454518,0.562455128
,AP000873.2,0.097002596,0.828618998
,CSTF3-DT,-0.351960178,0.38025587
,LINC01252,-0.29001113,0.52315473
,AC104078.1,-0.009920073,NA
,AC011346.1,0.489390462,0.149058376
,LINC01498,0.003050386,NA
,AC009060.1,-0.020835479,NA
,UBL7-AS1,-0.102502006,0.627729058
,ZBED5-AS1,0.282393961,0.142614035
,AL359220.1,0.034128808,NA
,AC010255.1,0,NA
,ZCCHC3,0.000131601,0.99931859
,LY6E-DT,-0.118438392,0.722581328
,AC010547.1,0,NA
,AC092343.1,-0.021574928,NA
,AC090061.1,0.049414175,0.928858104
,AC008897.2,-0.014567862,NA
,TMED2-DT,0.611519511,0.096863567
,PLUT,NA,NA
,DNAJC3-DT,0.868352622,6.71E-06
,AC099487.1,-0.009920073,NA
,AP000802.1,-0.821799222,0.025653734
,CARS-AS1,0.063721573,NA
,GPRC5D-AS1,0.233828955,0.418930839
,MIR4458HG,NA,NA
,OIP5-AS1,0.180583474,0.009645535
,SDCBPP2,0.184388623,0.672399664
,CKMT2-AS1,0.637073786,0.001020646
,SPTY2D1OS,0.452773306,0.269200738
,TWF2,0.044288097,0.663204062
,CPEB2-DT,0.07772133,0.827357166
,MARS2,-0.227689655,0.028312328
,MTND4P12,1.408424777,4.04E-05
,LRP4-AS1,-0.135272403,NA
,AC139795.2,0.503558743,0.040869676
,FABP6-AS1,-0.078611805,NA
,STX18-AS1,1.240696337,6.24E-07
,AC091057.3,0.123017925,NA
,AC120114.1,0.466271582,0.260980239
,USP51,0.129297147,0.758019076
,AC106800.1,0,NA
,AC068446.2,NA,NA
,PCED1B-AS1,2.585969105,5.95E-16
,SNCA-AS1,0,NA
,AC008966.1,-0.004702421,0.990966621
,NR2F2-AS1,0.639681543,0.06036882
,AL136537.1,0,NA
,TMEM161B-AS1,0.497103369,7.99E-05
,AC006064.2,0.253382354,0.563227429
,AP001922.1,0,NA
,SPCS2P3,0,NA
,AC021086.1,-0.237138302,0.510239916
,AC024896.1,1.266322032,0.000180583
,HMGN1P12,0.01191074,NA
,AL139807.1,0.012289771,NA
,AC022364.1,0.251015213,0.59550654
,SEC24B-AS1,0.2712407,0.531846881
,AL160313.2,0.320195093,0.352889532
,LINC00926,1.681430574,4.55E-70
,FOXD1-AS1,NA,NA
,NRAV,0.100539562,0.618393891
,AC005329.1,-0.311127753,0.472066044
,FAM13A-AS1,1.423407579,7.86E-08
,AP001351.1,0,NA
,AC034238.3,NA,NA
,UBA6-AS1,-0.361481755,0.063349986
,AC079061.1,NA,NA
,DPH6-DT,0.205209289,0.625307525
,NNT-AS1,0.185115057,0.209260333
,BCKDHA,-0.34734442,3.64E-09
,INSL3,-0.033852311,NA
,AC087257.1,NA,NA
,AC008443.3,0.012070748,NA
,TARS2P1,NA,NA
,AC008885.1,0,NA
,AC116353.3,NA,NA
,LINC02039,NA,NA
,MARCOL,NA,NA
,AC108174.1,-0.009920073,NA
,AC067942.2,0.145980564,0.766332124
,AC114812.3,NA,NA
,AC023154.1,-0.052959797,NA
,MICOS10P4,NA,NA
,LINC01019,0.01191074,NA
,AC114967.1,NA,NA
,SMURF2P1,-0.126961063,0.606334931
,APOOP4,NA,NA
,RRN3P1,1.019906187,1.29E-05
,AC008700.1,0,NA
,AC091849.1,0.007898812,NA
,AC026774.1,NA,NA
,AC114801.1,0.01191074,NA
,LINC01194,NA,NA
,LINC02101,0,NA
,MTND4LP22,NA,NA
,AC079395.1,NA,NA
,MTND6P8,NA,NA
,AC094105.1,-0.010207665,NA
,AC097515.1,NA,NA
,CUL4AP1,NA,NA
,LINC02383,0.01191074,NA
,ADH1C,NA,NA
,AC016553.1,NA,NA
,AC114954.1,0,NA
,LINC02150,0.01191074,NA
,ANK2-AS1,0,NA
,CR545473.1,0,NA
,BTG4P1,NA,NA
,HSPA8P11,0.145612661,0.693031075
,AC233724.1,0,NA
,AC098487.1,-0.394632905,0.168065914
,AC074198.1,0,NA
,AC110760.1,NA,NA
,AC117522.1,NA,NA
,AC009720.1,-0.009920073,NA
,LINC02268,-0.040087596,NA
,AC109349.1,0.01191074,NA
,GAPDHP60,-0.260404025,0.394365915
,LINC02283,NA,NA
,AC025445.1,NA,NA
,AC078850.1,0.066935291,NA
,AC005798.1,NA,NA
,PES1P1,0,NA
,ATG10-AS1,0,NA
,AC016550.1,NA,NA
,AC092658.1,-0.058435199,NA
,LINC00290,NA,NA
,AC008877.1,NA,NA
,AC093770.1,0,NA
,LINC02234,0,NA
,AC011362.1,NA,NA
,H3P17,NA,NA
,AC074194.1,1.835669167,3.57E-08
,WDR45P1,-0.182733297,0.697407711
,AC097462.1,NA,NA
,LINC02355,NA,NA
,TRPC7-AS1,0,NA
,CICP16,-0.044615196,NA
,LINC02505,NA,NA
,KCTD9P5,0.002812522,NA
,STX18-IT1,0,NA
,AC011389.1,NA,NA
,AC026785.2,NA,NA
,LINC02513,NA,NA
,SLIT2-IT1,NA,NA
,AC106872.4,-0.009920073,NA
,KRT8P4,0,NA
,AC091839.1,0,NA
,AC008837.1,NA,NA
,AC105420.1,NA,NA
,LINC02438,0,NA
,AC114956.1,0.072409271,NA
,AC004053.1,NA,NA
,LINC02014,0.278768782,0.492352576
,AC010307.2,0,NA
,AC110794.1,0,NA
,AC107398.2,0.174250377,NA
,OCIAD1-AS1,0.260377923,NA
,PSG10P,NA,NA
,MTND4LP31,NA,NA
,AC008948.1,NA,NA
,AC108037.1,NA,NA
,AC023794.2,0,NA
,AC108142.1,NA,NA
,AC010275.1,0.01191074,NA
,PGAM1P1,0.01191074,NA
,TRIM52-AS1,0.247255905,0.273989653
,SUMO2P17,-0.101737485,0.848767876
,LINC02120,0.012969007,NA
,AC106868.1,NA,NA
,MTCYBP44,NA,NA
,CCNL2P1,NA,NA
,AC122707.1,NA,NA
,AC140172.1,NA,NA
,SCGB1D5P,NA,NA
,AC008868.1,0.003493573,NA
,TNXA,NA,NA
,AC008413.1,NA,NA
,DDX43P1,NA,NA
,AC025465.1,NA,NA
,LINC02360,NA,NA
,BNIP3P41,0,NA
,AC105416.1,0.144643004,0.627120118
,LINC00616,NA,NA
,AC138938.1,NA,NA
,MEF2C-AS1,-3.183345011,2.33E-29
,AC026719.1,NA,NA
,CYP4F27P,NA,NA
,MTND4LP2,NA,NA
,AC111194.1,0,NA
,AC104958.1,-0.049779512,NA
,LINC02275,NA,NA
,THAP12P9,0,NA
,AL117348.1,NA,NA
,LUCAT1,0.356819909,0.29762149
,NOL8P1,-0.117877903,0.68687338
,MTCO3P28,NA,NA
,APELA,NA,NA
,LINC00613,-0.009920073,NA
,TUB-AS1,NA,NA
,CDK11B,0.02710899,0.82319882
,WHAMMP2,-0.802472626,1.55E-20
,AC096733.2,NA,NA
,HMGN1P11,0.044826709,NA
,AC233724.2,NA,NA
,LINC02472,NA,NA
,LINC02504,NA,NA
,AC106047.1,0,NA
,AC096576.2,NA,NA
,AC092435.1,NA,NA
,AC120036.1,0,NA
,AC112204.1,NA,NA
,AC010265.1,NA,NA
,HSPD1P18,0,NA
,ARL2BPP6,NA,NA
,AC093864.1,0.049583725,NA
,AC243972.1,NA,NA
,AC010280.1,NA,NA
,LINC00504,-0.352371997,0.419398463
,AC011352.1,NA,NA
,AC016550.2,NA,NA
,OR7E86P,NA,NA
,POU5F1P7,0,NA
,TRAJ51,NA,NA
,AC008610.1,0.187724557,0.701089276
,AC114741.1,NA,NA
,LINC02434,0.01191074,NA
,LINC02056,NA,NA
,AC096577.1,0,NA
,AC073358.1,NA,NA
,AC104066.3,-0.717465154,0.0584393
,AC112698.1,NA,NA
,HMGN1P9,NA,NA
,AC022447.1,0,NA
,PCDHAC1,NA,NA
,TARM1,0.034346473,NA
,AC121161.1,NA,NA
,AC093801.1,NA,NA
,LINC02064,0.01191074,NA
,AC026782.1,NA,NA
,FOSL1P1,-0.009920073,NA
,TOMM22P4,NA,NA
,LINC00498,NA,NA
,AL645924.1,0,NA
,ST13P12,-0.096096045,NA
,AC114781.1,0.375861462,0.259905347
,NACAP6,0,NA
,AC008758.3,0.229652756,0.630255045
,LINC02469,0.01191074,NA
,AP000344.2,NA,NA
,GAPDHP61,-0.323185801,0.470341054
,AC107464.2,0.03712621,NA
,AC097535.1,NA,NA
,UBL5P1,NA,NA
,AC110768.1,NA,NA
,MTATP6P9,NA,NA
,AC233724.3,NA,NA
,AC100850.1,0,NA
,OR51K1P,NA,NA
,AC006296.1,NA,NA
,AC113347.2,NA,NA
,AC010395.1,NA,NA
,FAM198B-AS1,0.207894121,0.433487546
,HMGB3P16,NA,NA
,AC021134.1,0,NA
,AC139718.1,NA,NA
,AC107463.1,NA,NA
,RPL23AP94,NA,NA
,AC091917.1,NA,NA
,LINC01197,0.034476213,NA
,OR10J7P,NA,NA
,AC109464.1,NA,NA
,HNRNPA1P65,-0.071654739,NA
,SEMA6A-AS1,0.380129762,0.367266799
,AC107058.1,NA,NA
,COX5BP1,NA,NA
,PCDHGB8P,-0.077856201,NA
,AC097714.1,NA,NA
,LINC02217,0.089695498,0.838034554
,LINC02485,0,NA
,LINC02220,NA,NA
,AL139147.1,NA,NA
,AC083906.1,0,NA
,LINC02119,NA,NA
,NENFP3,NA,NA
,FGF10-AS1,0,NA
,AC098827.1,NA,NA
,AC107027.1,0.075180598,0.857903688
,AC139491.1,NA,NA
,AC233724.4,NA,NA
,DDX11L9,NA,NA
,LINC01962,-0.029022076,0.959189103
,LINC02122,NA,NA
,AC016642.1,0,NA
,BACH1-IT1,-0.316876035,0.451304516
,NAIPP3,1.01204039,0.004970909
,AC104137.1,NA,NA
,AC093801.2,NA,NA
,AC008406.1,NA,NA
,POU5F2,0.112128233,NA
,AC113391.1,NA,NA
,PCP4L1,0.359923586,0.172139397
,ABHD14A,0.436665818,1.06E-06
,PGAM4P2,NA,NA
,LINC02062,0.100100142,0.849800456
,AC113355.1,0,NA
,AC093772.1,0.01191074,NA
,ZFAT-AS1,NA,NA
,AC005351.1,-0.046296587,NA
,LNX1-AS2,NA,NA
,ASNSP1,0,NA
,AL356235.1,0.246271119,0.526971646
,LINC02380,0,NA
,AC097474.1,NA,NA
,OR5H4P,NA,NA
,SRP14-AS1,0.036841035,0.908658145
,LINC02267,NA,NA
,AC112695.1,0.01191074,NA
,AC008443.4,NA,NA
,AC024230.1,0,NA
,AC105415.1,0,NA
,LINC02437,NA,NA
,AC098587.1,NA,NA
,AC092612.1,-0.009920073,NA
,SBF1P1,0,NA
,AC026787.1,-0.009920073,NA
,MTATP6P1,1.460425946,7.24E-18
,LINC02058,0,NA
,AC026746.1,0.01191074,NA
,BCL2L12P1,0.157553564,0.617587757
,NDUFA5P12,-0.009920073,NA
,AC119751.2,NA,NA
,AC034226.1,-0.009920073,NA
,AC091906.1,NA,NA
,AC022784.1,-0.133305174,0.703415922
,LINC02117,NA,NA
,AC010931.1,0,NA
,AC233724.5,0,NA
,NPM1P41,NA,NA
,AC008676.1,0,NA
,AC105290.1,NA,NA
,ANP32C,-0.392568515,0.342464291
,AC021146.2,NA,NA
,MTND4P8,NA,NA
,OTX2-AS1,-0.009920073,NA
,AC095050.1,0.01191074,NA
,AC074344.1,NA,NA
,OR52H2P,NA,NA
,C5orf34-AS1,0.424829485,0.213095799
,LINC01339,0,NA
,AC024558.1,-0.033339615,NA
,AC109454.2,-0.037043428,0.948773269
,AC008620.2,-0.009920073,NA
,AC079140.1,0.00459297,NA
,TECRP2,0.004014022,NA
,AC068721.1,NA,NA
,KRT8P48,0,NA
,AC026410.3,-0.229659492,0.402355254
,AC106882.1,0.045547653,NA
,EGFLAM-AS2,0,NA
,PRYP6,NA,NA
,ADAM20P2,NA,NA
,AC023794.3,0,NA
,AC091435.1,NA,NA
,NPM1P21,-0.432391231,0.084107539
,AC119751.3,-0.015354306,NA
,AC084024.2,0.05570336,NA
,AC025470.1,-0.010169311,NA
,GDNF-AS1,0,NA
,AC008517.1,NA,NA
,GLDCP1,0,NA
,AC109445.1,NA,NA
,DSTNP2,0.693223999,0.007403137
,AC126768.1,NA,NA
,AC018781.1,-0.039514597,NA
,AC025465.2,NA,NA
,AC116634.1,NA,NA
,AC022140.1,NA,NA
,AC117422.1,0.01191074,NA
,AC133963.1,-0.015707805,NA
,HSPA8P4,-0.022004452,NA
,AC107385.1,NA,NA
,AC021146.3,NA,NA
,AC109439.1,0.01191074,NA
,ENPP7P3,NA,NA
,AC108019.1,NA,NA
,AC022447.2,0,NA
,AC079768.1,-0.056054599,NA
,GAPDHP40,-0.191071665,0.451994388
,AC095059.1,NA,NA
,AC092608.1,NA,NA
,WRBP1,0,NA
,AC008588.1,0,NA
,AC147055.1,NA,NA
,AC002070.1,-0.034801138,0.883907803
,AC108064.1,0,NA
,AC098799.1,0.01191074,NA
,HNRNPA1P56,0.056305431,NA
,HMGA1P2,-0.13246867,0.780862091
,OR10J2P,NA,NA
,AC106872.5,0.01191074,NA
,AC096759.1,NA,NA
,AC012613.1,NA,NA
,AC113410.2,0.069594882,NA
,GCSHP1,NA,NA
,AC034244.2,0,NA
,MTCO3P44,NA,NA
,AC083795.2,0,NA
,AC023162.1,-0.009920073,NA
,SRIP1,NA,NA
,LINC00992,NA,NA
,AC010273.2,0.016444675,0.964378656
,AC010486.1,NA,NA
,OXCT1-AS1,0.209195974,0.575375983
,AC116562.2,NA,NA
,AP003498.1,0.797890412,0.029099289
,LINC01331,0,NA
,RBBP4P6,NA,NA
,AC083902.1,0.01191074,NA
,LINC02102,0.015061576,NA
,ARHGAP22-IT1,NA,NA
,BIN2P2,-0.369206031,0.344736892
,LINC02484,0.01191074,NA
,AC024589.1,NA,NA
,HAS2-AS1,-0.009920073,NA
,ADGRL3-AS1,-0.009920073,NA
,LINC02100,-0.252735953,0.461903073
,AC079226.1,NA,NA
,AC011406.1,0.003075409,NA
,TOX4P1,0.566531512,0.128870122
,LINC01085,0.192125215,NA
,AC114964.1,0.004459517,NA
,AC008539.1,NA,NA
,AC005921.2,NA,NA
,LINC02415,NA,NA
,MTND4P2,NA,NA
,AC114812.4,-0.009920073,NA
,LINC02144,0.01191074,NA
,AC008549.1,0.01191074,NA
,THUMPD3P1,NA,NA
,CCDC153,0.939184926,0.000581375
,C4orf54,0.01191074,NA
,AC091180.3,0.454709381,0.259221858
,AC105424.1,NA,NA
,AC093815.1,NA,NA
,LINC02222,0,NA
,AC021127.1,-0.590515868,0.061592237
,RFPL4AP5,NA,NA
,AK3P4,0,NA
,NPHP3-AS1,0,NA
,AC097488.1,-0.114288797,NA
,LINC01948,-0.051948163,NA
,MTCO1P30,0,NA
,EGFLAM-AS4,NA,NA
,AC008852.1,NA,NA
,AC008906.1,0.633802507,0.096334091
,R3HDM2P1,NA,NA
,AC094105.2,0.01191074,NA
,AC037441.1,0.018464054,NA
,AC069306.1,NA,NA
,LINC02428,NA,NA
,AC108467.1,NA,NA
,NMNAT1P4,NA,NA
,ACTN3,-0.031077651,NA
,AC107220.1,0,NA
,MTND5P9,NA,NA
,AC104063.1,0.01191074,NA
,AC020699.1,NA,NA
,AC116362.1,0,NA
,AC008406.2,NA,NA
,AC092639.1,NA,NA
,LINC02115,NA,NA
,AC008883.1,0,NA
,AC091874.2,NA,NA
,AC012339.1,0.01191074,NA
,AC111000.2,NA,NA
,AC092435.2,NA,NA
,MTCYBP37,0,NA
,AC093303.1,NA,NA
,AC187653.1,NA,NA
,AC139495.1,NA,NA
,AC019235.1,-0.009920073,NA
,SMIM31,0.01191074,NA
,AC108729.3,NA,NA
,AC108727.1,0.105289197,NA
,AC097534.1,0.440606551,0.274794047
,AC091951.3,NA,NA
,AC006499.1,NA,NA
,AC105391.1,0,NA
,AC093297.1,NA,NA
,ARL4AP2,0,NA
,PSMC1P4,-0.70334951,0.021483684
,AC106771.1,NA,NA
,HIGD1AP14,-0.450864857,0.235024097
,AC092903.2,0,NA
,LINC02118,NA,NA
,AC097103.1,NA,NA
,AC010627.1,1.232814345,0.000418739
,LINC00266-2P,NA,NA
,AC026436.1,-0.178210272,0.709402868
,AC098859.1,-0.553339475,0.158039162
